"s_1","s_2","Block","trt","y"
1,1,1,"14",1
1,1,1,"14",1
1,1,1,"14",0
1,1,1,"14",0
1,1,1,"14",0
1,1,1,"14",0
1,1,1,"14",0
1,1,1,"14",0
2,1,1,"16",1
2,1,1,"16",0
2,1,1,"16",0
2,1,1,"16",0
2,1,1,"16",0
2,1,1,"16",0
2,1,1,"16",0
2,1,1,"16",0
2,1,1,"16",0
3,1,1,"7",1
3,1,1,"7",1
3,1,1,"7",1
3,1,1,"7",1
3,1,1,"7",1
3,1,1,"7",1
3,1,1,"7",1
3,1,1,"7",1
3,1,1,"7",1
3,1,1,"7",0
3,1,1,"7",0
3,1,1,"7",0
3,1,1,"7",0
4,1,1,"6",1
4,1,1,"6",1
4,1,1,"6",1
4,1,1,"6",1
4,1,1,"6",1
4,1,1,"6",1
4,1,1,"6",1
4,1,1,"6",1
4,1,1,"6",1
1,2,1,"13",1
1,2,1,"13",1
1,2,1,"13",0
1,2,1,"13",0
1,2,1,"13",0
1,2,1,"13",0
1,2,1,"13",0
1,2,1,"13",0
1,2,1,"13",0
2,2,1,"15",1
2,2,1,"15",1
2,2,1,"15",1
2,2,1,"15",1
2,2,1,"15",1
2,2,1,"15",1
2,2,1,"15",1
2,2,1,"15",0
2,2,1,"15",0
2,2,1,"15",0
2,2,1,"15",0
2,2,1,"15",0
2,2,1,"15",0
2,2,1,"15",0
3,2,1,"8",1
3,2,1,"8",1
3,2,1,"8",1
3,2,1,"8",1
3,2,1,"8",1
3,2,1,"8",1
3,2,1,"8",0
3,2,1,"8",0
4,2,1,"5",1
4,2,1,"5",1
4,2,1,"5",1
4,2,1,"5",1
4,2,1,"5",1
4,2,1,"5",1
4,2,1,"5",1
4,2,1,"5",1
4,2,1,"5",0
4,2,1,"5",0
4,2,1,"5",0
1,3,1,"11",1
1,3,1,"11",1
1,3,1,"11",1
1,3,1,"11",1
1,3,1,"11",1
1,3,1,"11",1
1,3,1,"11",1
1,3,1,"11",0
1,3,1,"11",0
1,3,1,"11",0
1,3,1,"11",0
1,3,1,"11",0
2,3,1,"12",1
2,3,1,"12",1
2,3,1,"12",1
2,3,1,"12",1
2,3,1,"12",1
2,3,1,"12",1
2,3,1,"12",1
2,3,1,"12",1
2,3,1,"12",0
2,3,1,"12",0
2,3,1,"12",0
3,3,1,"2",1
3,3,1,"2",1
3,3,1,"2",1
3,3,1,"2",1
3,3,1,"2",1
3,3,1,"2",1
3,3,1,"2",1
3,3,1,"2",1
3,3,1,"2",0
3,3,1,"2",0
4,3,1,"3",1
4,3,1,"3",1
4,3,1,"3",1
4,3,1,"3",1
4,3,1,"3",1
4,3,1,"3",0
4,3,1,"3",0
4,3,1,"3",0
4,3,1,"3",0
4,3,1,"3",0
4,3,1,"3",0
4,3,1,"3",0
1,4,1,"10",1
1,4,1,"10",1
1,4,1,"10",1
1,4,1,"10",1
1,4,1,"10",1
1,4,1,"10",1
1,4,1,"10",1
1,4,1,"10",0
1,4,1,"10",0
2,4,1,"9",1
2,4,1,"9",1
2,4,1,"9",1
2,4,1,"9",1
2,4,1,"9",1
2,4,1,"9",1
2,4,1,"9",1
2,4,1,"9",1
2,4,1,"9",0
2,4,1,"9",0
2,4,1,"9",0
2,4,1,"9",0
2,4,1,"9",0
2,4,1,"9",0
2,4,1,"9",0
3,4,1,"4",1
3,4,1,"4",1
3,4,1,"4",1
3,4,1,"4",1
3,4,1,"4",1
3,4,1,"4",1
3,4,1,"4",0
3,4,1,"4",0
3,4,1,"4",0
3,4,1,"4",0
3,4,1,"4",0
3,4,1,"4",0
3,4,1,"4",0
3,4,1,"4",0
3,4,1,"4",0
3,4,1,"4",0
3,4,1,"4",0
3,4,1,"4",0
3,4,1,"4",0
4,4,1,"1",1
4,4,1,"1",1
4,4,1,"1",1
4,4,1,"1",1
4,4,1,"1",1
4,4,1,"1",1
4,4,1,"1",1
4,4,1,"1",0
1,5,2,"15",1
1,5,2,"15",1
1,5,2,"15",1
1,5,2,"15",1
1,5,2,"15",1
1,5,2,"15",1
1,5,2,"15",0
1,5,2,"15",0
1,5,2,"15",0
1,5,2,"15",0
1,5,2,"15",0
1,5,2,"15",0
1,5,2,"15",0
1,5,2,"15",0
1,5,2,"15",0
2,5,2,"3",1
2,5,2,"3",1
2,5,2,"3",1
2,5,2,"3",1
2,5,2,"3",1
2,5,2,"3",1
2,5,2,"3",1
2,5,2,"3",1
2,5,2,"3",1
2,5,2,"3",0
2,5,2,"3",0
3,5,2,"10",1
3,5,2,"10",1
3,5,2,"10",1
3,5,2,"10",1
3,5,2,"10",1
3,5,2,"10",0
3,5,2,"10",0
3,5,2,"10",0
3,5,2,"10",0
3,5,2,"10",0
3,5,2,"10",0
3,5,2,"10",0
4,5,2,"2",1
4,5,2,"2",1
4,5,2,"2",1
4,5,2,"2",1
4,5,2,"2",1
4,5,2,"2",1
4,5,2,"2",1
4,5,2,"2",1
4,5,2,"2",1
1,6,2,"11",1
1,6,2,"11",1
1,6,2,"11",1
1,6,2,"11",1
1,6,2,"11",1
1,6,2,"11",1
1,6,2,"11",1
1,6,2,"11",1
1,6,2,"11",1
1,6,2,"11",1
1,6,2,"11",0
1,6,2,"11",0
1,6,2,"11",0
1,6,2,"11",0
1,6,2,"11",0
1,6,2,"11",0
1,6,2,"11",0
1,6,2,"11",0
1,6,2,"11",0
1,6,2,"11",0
2,6,2,"7",1
2,6,2,"7",1
2,6,2,"7",1
2,6,2,"7",1
2,6,2,"7",1
2,6,2,"7",1
2,6,2,"7",1
2,6,2,"7",1
2,6,2,"7",0
2,6,2,"7",0
3,6,2,"14",1
3,6,2,"14",1
3,6,2,"14",1
3,6,2,"14",1
3,6,2,"14",0
3,6,2,"14",0
3,6,2,"14",0
3,6,2,"14",0
3,6,2,"14",0
3,6,2,"14",0
3,6,2,"14",0
3,6,2,"14",0
4,6,2,"6",1
4,6,2,"6",1
4,6,2,"6",1
4,6,2,"6",1
4,6,2,"6",1
4,6,2,"6",1
4,6,2,"6",1
4,6,2,"6",0
4,6,2,"6",0
4,6,2,"6",0
1,7,2,"5",1
1,7,2,"5",1
1,7,2,"5",1
1,7,2,"5",1
1,7,2,"5",1
1,7,2,"5",1
1,7,2,"5",1
1,7,2,"5",1
2,7,2,"13",1
2,7,2,"13",0
2,7,2,"13",0
2,7,2,"13",0
2,7,2,"13",0
2,7,2,"13",0
3,7,2,"12",1
3,7,2,"12",1
3,7,2,"12",0
3,7,2,"12",0
3,7,2,"12",0
3,7,2,"12",0
3,7,2,"12",0
3,7,2,"12",0
3,7,2,"12",0
4,7,2,"16",1
4,7,2,"16",0
4,7,2,"16",0
4,7,2,"16",0
4,7,2,"16",0
4,7,2,"16",0
4,7,2,"16",0
4,7,2,"16",0
4,7,2,"16",0
1,8,2,"9",1
1,8,2,"9",1
1,8,2,"9",1
1,8,2,"9",1
1,8,2,"9",1
1,8,2,"9",1
1,8,2,"9",1
1,8,2,"9",1
1,8,2,"9",1
1,8,2,"9",0
1,8,2,"9",0
1,8,2,"9",0
1,8,2,"9",0
1,8,2,"9",0
2,8,2,"1",1
2,8,2,"1",1
2,8,2,"1",1
2,8,2,"1",1
2,8,2,"1",1
2,8,2,"1",1
2,8,2,"1",1
2,8,2,"1",1
2,8,2,"1",1
2,8,2,"1",1
2,8,2,"1",1
2,8,2,"1",1
2,8,2,"1",0
3,8,2,"8",1
3,8,2,"8",1
3,8,2,"8",1
3,8,2,"8",0
3,8,2,"8",0
3,8,2,"8",0
3,8,2,"8",0
3,8,2,"8",0
3,8,2,"8",0
3,8,2,"8",0
3,8,2,"8",0
3,8,2,"8",0
4,8,2,"4",1
4,8,2,"4",1
4,8,2,"4",1
4,8,2,"4",1
4,8,2,"4",1
4,8,2,"4",1
4,8,2,"4",1
4,8,2,"4",0
4,8,2,"4",0
4,8,2,"4",0
4,8,2,"4",0
4,8,2,"4",0
4,8,2,"4",0
4,8,2,"4",0
5,1,3,"7",1
5,1,3,"7",1
5,1,3,"7",1
5,1,3,"7",1
5,1,3,"7",1
5,1,3,"7",1
5,1,3,"7",1
6,1,3,"13",1
6,1,3,"13",0
6,1,3,"13",0
6,1,3,"13",0
6,1,3,"13",0
6,1,3,"13",0
6,1,3,"13",0
7,1,3,"8",1
7,1,3,"8",1
7,1,3,"8",1
7,1,3,"8",0
7,1,3,"8",0
7,1,3,"8",0
7,1,3,"8",0
7,1,3,"8",0
7,1,3,"8",0
7,1,3,"8",0
7,1,3,"8",0
7,1,3,"8",0
7,1,3,"8",0
8,1,3,"14",1
8,1,3,"14",0
8,1,3,"14",0
8,1,3,"14",0
8,1,3,"14",0
8,1,3,"14",0
8,1,3,"14",0
8,1,3,"14",0
8,1,3,"14",0
5,2,3,"4",1
5,2,3,"4",1
5,2,3,"4",1
5,2,3,"4",1
5,2,3,"4",1
5,2,3,"4",1
5,2,3,"4",1
5,2,3,"4",1
5,2,3,"4",1
5,2,3,"4",1
5,2,3,"4",1
5,2,3,"4",0
5,2,3,"4",0
5,2,3,"4",0
5,2,3,"4",0
6,2,3,"10",1
6,2,3,"10",1
6,2,3,"10",1
6,2,3,"10",1
6,2,3,"10",1
6,2,3,"10",1
6,2,3,"10",1
6,2,3,"10",0
6,2,3,"10",0
7,2,3,"3",1
7,2,3,"3",1
7,2,3,"3",1
7,2,3,"3",1
7,2,3,"3",1
7,2,3,"3",1
7,2,3,"3",1
7,2,3,"3",1
7,2,3,"3",1
7,2,3,"3",1
7,2,3,"3",1
7,2,3,"3",0
7,2,3,"3",0
7,2,3,"3",0
7,2,3,"3",0
8,2,3,"9",1
8,2,3,"9",1
8,2,3,"9",1
8,2,3,"9",1
8,2,3,"9",1
8,2,3,"9",0
8,2,3,"9",0
8,2,3,"9",0
8,2,3,"9",0
8,2,3,"9",0
8,2,3,"9",0
8,2,3,"9",0
8,2,3,"9",0
5,3,3,"6",1
5,3,3,"6",1
5,3,3,"6",1
5,3,3,"6",1
5,3,3,"6",1
5,3,3,"6",1
5,3,3,"6",1
5,3,3,"6",1
5,3,3,"6",1
5,3,3,"6",0
5,3,3,"6",0
5,3,3,"6",0
5,3,3,"6",0
5,3,3,"6",0
5,3,3,"6",0
5,3,3,"6",0
6,3,3,"1",1
6,3,3,"1",1
6,3,3,"1",1
6,3,3,"1",1
6,3,3,"1",1
6,3,3,"1",1
6,3,3,"1",1
6,3,3,"1",1
7,3,3,"15",1
7,3,3,"15",0
7,3,3,"15",0
7,3,3,"15",0
7,3,3,"15",0
7,3,3,"15",0
7,3,3,"15",0
8,3,3,"12",1
8,3,3,"12",1
8,3,3,"12",1
8,3,3,"12",1
8,3,3,"12",1
8,3,3,"12",1
8,3,3,"12",1
8,3,3,"12",1
8,3,3,"12",0
8,3,3,"12",0
8,3,3,"12",0
8,3,3,"12",0
5,4,3,"11",1
5,4,3,"11",0
5,4,3,"11",0
5,4,3,"11",0
5,4,3,"11",0
5,4,3,"11",0
5,4,3,"11",0
5,4,3,"11",0
6,4,3,"16",1
6,4,3,"16",0
6,4,3,"16",0
6,4,3,"16",0
6,4,3,"16",0
6,4,3,"16",0
6,4,3,"16",0
6,4,3,"16",0
6,4,3,"16",0
6,4,3,"16",0
6,4,3,"16",0
6,4,3,"16",0
6,4,3,"16",0
6,4,3,"16",0
6,4,3,"16",0
7,4,3,"5",1
7,4,3,"5",1
7,4,3,"5",1
7,4,3,"5",1
7,4,3,"5",1
7,4,3,"5",1
7,4,3,"5",1
7,4,3,"5",0
7,4,3,"5",0
7,4,3,"5",0
7,4,3,"5",0
7,4,3,"5",0
8,4,3,"2",1
8,4,3,"2",1
8,4,3,"2",1
8,4,3,"2",1
8,4,3,"2",1
8,4,3,"2",1
8,4,3,"2",1
8,4,3,"2",1
8,4,3,"2",1
8,4,3,"2",1
8,4,3,"2",1
8,4,3,"2",1
8,4,3,"2",0
8,4,3,"2",0
8,4,3,"2",0
8,4,3,"2",0
5,5,4,"9",1
5,5,4,"9",1
5,5,4,"9",1
5,5,4,"9",1
5,5,4,"9",1
5,5,4,"9",1
5,5,4,"9",1
5,5,4,"9",1
5,5,4,"9",0
5,5,4,"9",0
5,5,4,"9",0
5,5,4,"9",0
5,5,4,"9",0
5,5,4,"9",0
5,5,4,"9",0
6,5,4,"4",1
6,5,4,"4",1
6,5,4,"4",1
6,5,4,"4",1
6,5,4,"4",1
6,5,4,"4",1
6,5,4,"4",0
6,5,4,"4",0
6,5,4,"4",0
6,5,4,"4",0
7,5,4,"12",1
7,5,4,"12",1
7,5,4,"12",1
7,5,4,"12",1
7,5,4,"12",1
7,5,4,"12",0
7,5,4,"12",0
7,5,4,"12",0
7,5,4,"12",0
7,5,4,"12",0
7,5,4,"12",0
7,5,4,"12",0
7,5,4,"12",0
8,5,4,"1",1
8,5,4,"1",1
8,5,4,"1",1
8,5,4,"1",1
8,5,4,"1",1
8,5,4,"1",1
8,5,4,"1",1
8,5,4,"1",1
8,5,4,"1",1
8,5,4,"1",0
8,5,4,"1",0
8,5,4,"1",0
8,5,4,"1",0
8,5,4,"1",0
8,5,4,"1",0
5,6,4,"15",1
5,6,4,"15",1
5,6,4,"15",1
5,6,4,"15",1
5,6,4,"15",1
5,6,4,"15",1
5,6,4,"15",0
5,6,4,"15",0
5,6,4,"15",0
5,6,4,"15",0
5,6,4,"15",0
5,6,4,"15",0
5,6,4,"15",0
5,6,4,"15",0
5,6,4,"15",0
5,6,4,"15",0
5,6,4,"15",0
6,6,4,"6",1
6,6,4,"6",1
6,6,4,"6",0
6,6,4,"6",0
6,6,4,"6",0
6,6,4,"6",0
6,6,4,"6",0
6,6,4,"6",0
7,6,4,"14",1
7,6,4,"14",1
7,6,4,"14",1
7,6,4,"14",1
7,6,4,"14",1
7,6,4,"14",0
7,6,4,"14",0
7,6,4,"14",0
7,6,4,"14",0
7,6,4,"14",0
7,6,4,"14",0
7,6,4,"14",0
8,6,4,"7",1
8,6,4,"7",1
8,6,4,"7",1
8,6,4,"7",1
8,6,4,"7",1
8,6,4,"7",1
8,6,4,"7",1
8,6,4,"7",1
8,6,4,"7",0
8,6,4,"7",0
8,6,4,"7",0
8,6,4,"7",0
8,6,4,"7",0
8,6,4,"7",0
8,6,4,"7",0
5,7,4,"13",1
5,7,4,"13",1
5,7,4,"13",0
5,7,4,"13",0
5,7,4,"13",0
5,7,4,"13",0
5,7,4,"13",0
5,7,4,"13",0
5,7,4,"13",0
5,7,4,"13",0
5,7,4,"13",0
5,7,4,"13",0
5,7,4,"13",0
6,7,4,"8",1
6,7,4,"8",1
6,7,4,"8",1
6,7,4,"8",1
6,7,4,"8",1
6,7,4,"8",1
6,7,4,"8",1
6,7,4,"8",1
6,7,4,"8",1
6,7,4,"8",0
6,7,4,"8",0
6,7,4,"8",0
6,7,4,"8",0
7,7,4,"3",1
7,7,4,"3",1
7,7,4,"3",1
7,7,4,"3",1
7,7,4,"3",1
7,7,4,"3",1
7,7,4,"3",1
7,7,4,"3",1
7,7,4,"3",1
8,7,4,"10",1
8,7,4,"10",1
8,7,4,"10",1
8,7,4,"10",1
8,7,4,"10",1
8,7,4,"10",1
5,8,4,"2",1
5,8,4,"2",1
5,8,4,"2",1
5,8,4,"2",1
5,8,4,"2",1
5,8,4,"2",1
5,8,4,"2",1
5,8,4,"2",1
5,8,4,"2",0
5,8,4,"2",0
5,8,4,"2",0
5,8,4,"2",0
6,8,4,"11",1
6,8,4,"11",1
6,8,4,"11",1
6,8,4,"11",1
6,8,4,"11",1
6,8,4,"11",1
6,8,4,"11",1
6,8,4,"11",0
6,8,4,"11",0
7,8,4,"5",1
7,8,4,"5",1
7,8,4,"5",1
7,8,4,"5",1
7,8,4,"5",1
7,8,4,"5",1
7,8,4,"5",1
7,8,4,"5",1
7,8,4,"5",1
7,8,4,"5",1
7,8,4,"5",0
8,8,4,"16",1
8,8,4,"16",1
8,8,4,"16",1
8,8,4,"16",1
8,8,4,"16",1
8,8,4,"16",1
8,8,4,"16",1
8,8,4,"16",0
8,8,4,"16",0
8,8,4,"16",0
8,8,4,"16",0
8,8,4,"16",0
8,8,4,"16",0
8,8,4,"16",0
8,8,4,"16",0
